1	1329	496
2	871	689
3	1280	342
4	1144	1178
5	-728	-120
6	246	-212
7	696	-121
8	869	891
9	727	-79
10	1137	314
11	154	571
12	1330	125
13	531	868
14	980	97
15	634	1106
16	943	366
17	873	137
18	733	190
19	982	1402
20	667	1027
21	414	-222
22	1236	-268
23	627	1024
24	269	455
25	888	950
26	946	1427
27	706	113
28	1030	607
29	950	192
30	1231	-177
31	256	686
32	207	49
33	1195	1127
34	829	282
35	942	940
36	497	-72
37	544	771
38	1041	573
39	524	573
40	1140	1085
41	341	1396
42	1123	945
43	505	738
44	748	747
45	282	326
46	-66	1164
47	244	1014
48	866	1269
49	366	699
50	1384	1250
51	1388	252
52	344	1110
53	362	245
54	334	532
55	756	614
56	579	1101
57	534	886
58	407	510
59	353	495
60	-456	660
61	259	1088
62	167	906
63	358	930
64	1058	556
65	107	174
66	1645	-22
67	145	211
68	781	-475
69	381	999
70	741	183
71	-67	901
72	464	709
73	821	497
74	217	2107
75	1143	-200
76	632	-350
77	361	1330
78	1020	1154
79	1186	640
80	99	1037
81	783	152
82	963	-206
83	-116	921
84	211	536
85	374	-533
86	396	360
87	775	1271
88	102	1066
89	1464	1247
90	449	487
91	553	243
92	993	18
93	816	556
94	196	1248
95	-222	-18
96	939	990
97	1256	767
98	621	-464
99	387	1401
100	1247	837
101	205	1544
102	1417	608
103	563	1111
104	558	569
105	446	-32
106	1229	932
107	-150	-347
108	-339	178
109	237	-199
110	722	802
111	509	1027
112	557	393
113	938	1215
114	-88	629
115	233	352
116	387	344
117	855	300
118	-26	827
119	84	-708
120	-334	1188
121	702	426
122	97	113
123	-315	663
124	-268	438
125	182	-37
126	681	914
127	-20	1349
128	810	1707
129	1252	1003
130	315	1391
131	-400	21
132	1311	1358
133	406	2085
134	1571	646
135	1072	502
136	-902	-465
137	297	-229
138	142	283
139	343	459
140	1209	-21
141	-343	928
142	511	-103
143	267	397
144	864	1080
145	1978	548
146	331	555
147	539	1087
148	518	490
149	875	568
150	390	-5
151	857	-323
152	765	282
153	948	1028
154	182	1732
155	509	980
156	451	1003
157	86	567
158	440	65
159	-192	499
160	916	-102
161	619	-20
162	538	1088
163	868	-555
164	600	44
165	662	-654
166	66	1206
167	493	279
168	-230	263
169	831	937
170	530	738
171	1226	133
172	206	965
173	967	70
174	525	613
175	1015	1360
176	119	684
177	438	881
178	-192	343
179	1048	89
180	395	592
181	1370	928
182	1013	1176
183	-107	38
184	627	572
185	415	161
186	323	1170
187	952	274
188	1120	465
189	427	553
190	1528	127
191	551	723
192	832	1157
193	-202	654
194	444	21
195	763	-407
196	-200	1212
197	458	790
198	633	549
199	1220	280
200	-406	728
201	-180	518
202	637	1237
203	-418	483
204	699	691
205	922	1502
206	586	-176
207	696	402
208	902	425
209	254	261
210	308	492
211	170	-464
212	-41	980
213	99	1044
214	110	1146
215	257	537
216	-868	1295
217	287	245
218	628	735
219	1018	482
220	792	767
221	282	22
222	56	-149
223	444	388
224	699	-16
225	521	806
226	302	745
227	167	-182
228	-552	404
229	737	33
230	164	374
231	667	438
232	762	1030
233	1151	497
234	379	612
235	287	954
236	1267	-805
237	996	854
238	1007	669
239	-415	403
240	-57	577
241	271	263
242	917	304
243	-22	431
244	234	309
245	36	-25
246	585	853
247	527	1575
248	612	14
249	566	513
250	872	813
