250
0	0	0
0	2	162
0	50	251
0	78	203
0	101	142
0	133	285
0	187	211
0	198	242
0	232	178
1	1	0
1	7	202
1	27	179
1	37	206
1	43	136
1	54	137
1	63	229
1	72	198
1	92	144
1	109	187
1	148	121
1	168	251
1	203	172
1	217	247
1	219	111
1	236	207
1	237	137
1	249	124
2	0	162
2	2	0
2	9	146
2	11	223
2	50	141
2	134	262
2	170	216
2	187	202
2	198	86
2	232	202
3	3	0
3	32	72
3	39	93
3	41	234
3	49	251
3	77	126
3	112	209
3	128	206
3	131	246
3	152	247
3	174	223
3	181	131
4	4	0
4	130	357
4	135	386
5	5	0
5	20	168
5	108	16
5	124	186
5	136	54
5	220	237
5	221	200
5	226	85
6	6	0
6	8	52
6	26	234
6	35	205
6	75	238
6	141	186
6	159	221
6	160	127
6	163	191
6	205	123
6	223	105
6	228	159
6	247	159
7	1	202
7	7	0
7	19	244
7	24	62
7	34	88
7	43	188
7	95	121
7	109	172
7	125	189
7	143	189
7	152	158
7	168	60
7	219	146
7	231	175
7	236	132
7	249	78
8	6	52
8	8	0
8	26	193
8	35	230
8	80	238
8	81	268
8	141	217
8	159	190
8	160	123
8	163	177
8	205	171
8	223	69
8	228	112
8	247	148
9	2	146
9	9	0
9	11	270
9	15	201
9	28	223
9	134	199
9	170	202
9	178	242
9	186	189
9	187	152
9	198	90
9	218	206
9	232	184
9	241	220
10	10	0
10	23	163
10	30	154
10	53	184
10	58	213
10	83	67
10	113	249
10	114	233
10	138	220
10	142	207
10	145	178
10	156	68
10	175	118
10	209	173
10	214	108
10	225	228
10	229	197
10	233	229
10	239	211
10	242	225
11	2	223
11	9	270
11	11	0
11	50	140
11	65	348
11	139	190
11	170	104
11	189	198
11	198	190
12	12	0
12	19	209
12	22	183
12	36	98
12	42	133
12	48	236
12	56	18
12	62	184
12	68	199
12	71	173
12	102	245
12	109	202
12	110	161
12	125	157
12	146	219
12	154	114
12	155	157
12	161	220
12	169	130
12	176	94
12	190	146
12	196	107
12	217	165
12	224	63
12	245	56
13	13	0
13	16	114
13	28	100
13	33	239
13	80	205
13	91	80
13	116	238
13	159	209
13	170	249
13	172	30
13	178	68
13	186	179
13	241	216
14	14	0
14	19	86
14	22	82
14	55	55
14	56	242
14	86	217
14	102	71
14	110	148
14	125	198
14	143	231
14	146	97
14	154	177
14	155	210
14	161	98
14	191	204
14	201	131
14	231	149
15	9	201
15	15	0
15	16	239
15	28	174
15	33	142
15	37	229
15	63	222
15	72	179
15	92	229
15	116	110
15	134	187
15	148	213
15	151	197
15	186	92
15	187	203
15	207	72
15	218	138
15	232	246
15	241	67
16	13	114
16	15	239
16	16	0
16	17	150
16	26	169
16	28	95
16	33	152
16	69	140
16	80	91
16	91	169
16	116	164
16	151	181
16	172	115
16	178	181
