25
0	0	0
0	4	625
0	7	324
0	17	203
1	1	0
1	23	241
2	2	0
2	8	292
2	9	193
2	16	264
2	21	369
3	3	0
3	11	435
3	14	343
4	0	625
4	4	0
5	5	0
5	12	249
5	13	294
6	6	0
6	12	224
6	24	248
7	0	324
7	7	0
7	17	122
7	20	152
7	22	347
8	2	292
8	8	0
8	16	97
8	21	121
9	2	193
9	9	0
9	15	322
9	16	346
9	20	367
10	10	0
10	15	93
10	19	118
10	20	238
11	3	435
11	11	0
12	5	249
12	6	224
12	12	0
12	13	107
12	20	340
12	22	115
12	24	472
13	5	294
13	12	107
13	13	0
13	20	235
13	22	46
14	3	343
14	14	0
14	24	347
15	9	322
15	10	93
15	15	0
15	19	156
15	20	326
15	22	397
16	2	264
16	8	97
16	9	346
16	16	0
16	21	106
17	0	203
17	7	122
17	17	0
17	20	264
18	18	0
18	24	269
19	10	118
19	15	156
19	19	0
19	22	268
19	23	322
20	7	152
20	9	367
20	10	238
20	12	340
20	13	235
20	15	326
20	17	264
20	20	0
21	2	369
21	8	121
21	16	106
21	21	0
22	7	347
22	12	115
22	13	46
22	15	397
22	19	268
22	22	0
23	1	241
23	19	322
23	23	0
24	6	248
24	12	472
24	14	347
24	18	269
24	24	0
-1
